ssthresh,bytesInFlight,cWndAtTheEnd,TimeSpentInRecovery,,,,
2000,3000,2000,0.741473,,,,
2500,5000,2500,0.208864,,,,
13600,15000,13600,0.434656,,,,
2000,4000,2000,0.208864,,,,
2500,5000,2500,0.417792,,,,
2500,5000,2500,0.208864,,,,
2000,3000,2000,0.217296,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.400928,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.936237,,,,
2000,4000,2000,0.208864,,,,
2000,4000,2000,0.62672,,,,
2000,4000,2000,0.217296,,,,
2000,3000,2000,0.217296,,,,
3000,6000,3000,0.276448,,,,
2500,5000,2500,0.217232,,,,
2000,3000,2000,0.634656,,,,
2500,5000,2500,0.779525,,,,
2000,3000,2000,0.2168,,,,
2000,4000,2000,0.74095,,,,
2000,3000,2000,0.217296,,,,
2000,4000,2000,0.208864,,,,
4000,8000,4000,0.217296,,,,
2500,5000,2500,0.192074,,,,
3500,7000,3500,0.417296,,,,
2500,5000,2500,0.353482,,,,
2000,3000,2000,0.851757,,,,
2000,4000,2000,0.217296,,,,
2000,4000,2000,0.033664,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.033664,,,,
2000,3000,2000,0.765155,,,,
2000,3000,2000,0.2168,,,,
2000,3000,2000,0.515959,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.2168,,,,
2000,4000,2000,0.63656,,,,
2500,5000,2500,0.358225,,,,
2000,3000,2000,0.202261,,,,
2000,3000,2000,0.90272,,,,
2500,5000,2500,0.251152,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.40936,,,,
2500,5000,2500,0.425728,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.613049,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.208864,,,,
4000,8000,4000,0.365344,,,,
2000,3000,2000,0.695696,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.516302,,,,
2000,4000,2000,0.217296,,,,
2500,5000,2500,0.225728,,,,
2000,3000,2000,0.217232,,,,
2000,3000,2000,0.208864,,,,
15200,17000,15200,0.34184,,,,
2000,4000,2000,0.208864,,,,
2500,5000,2500,0.408864,,,,
2000,4000,2000,0.208864,,,,
2500,5000,2500,0.781392,,,,
2000,3000,2000,0.033664,,,,
2000,3000,2000,0.234886,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.217296,,,,
4500,9000,4500,0.720178,,,,
2000,4000,2000,0.208864,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.265016,,,,
3000,6000,3000,0.208864,,,,
2000,3000,2000,0.425664,,,,
2000,4000,2000,0.635152,,,,
2000,3000,2000,0.731267,,,,
2000,3000,2000,0.217296,,,,
2000,3000,2000,0.208864,,,,
4500,9000,4500,0.400992,,,,
2500,5000,2500,0.217296,,,,
2000,4000,2000,0.217296,,,,
2000,3000,2000,0.208864,,,,
4000,8000,4000,0.400992,,,,
2000,4000,2000,0.409424,,,,
2000,4000,2000,0.417792,,,,
2000,3000,2000,0.217296,,,,
2000,3000,2000,0.208864,,,,
3500,7000,3500,0.4142,,,,
23200,27000,23200,0.529472,,,,
18400,22000,18400,0.392237,,,,
2500,5000,2500,0.350144,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.478217,,,,
2500,5000,2500,0.217296,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.370075,,,,
2000,3000,2000,0.253297,,,,
2000,4000,2000,0.217296,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.735146,,,,
2000,3000,2000,0.68398,,,,
2000,3000,2000,0.260441,,,,
2000,4000,2000,0.902454,,,,
2000,3000,2000,0.290329,,,,
2000,4000,2000,0.217296,,,,
3000,6000,3000,0.651839,,,,
2000,3000,2000,0.217296,,,,
3500,7000,3500,0.208864,,,,
2000,3000,2000,0.691462,,,,
2000,4000,2000,0.464298,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.850569,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.632868,,,,
2000,3000,2000,0.2168,,,,
2000,3000,2000,0.43416,,,,
2500,5000,2500,0.643088,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.843584,,,,
2000,4000,2000,0.635088,,,,
2000,4000,2000,0.635152,,,,
2000,4000,2000,0.634656,,,,
2500,5000,2500,0.626656,,,,
2500,5000,2500,0.234096,,,,
12800,15000,12800,0.57632,,,,
2000,4000,2000,0.48575,,,,
2000,3000,2000,0.635152,,,,
2000,3000,2000,0.217296,,,,
2000,3000,2000,0.196512,,,,
2000,3000,2000,0.236893,,,,
2000,3000,2000,0.392496,,,,
2000,4000,2000,0.217296,,,,
2000,4000,2000,0.62672,,,,
2000,4000,2000,0.417856,,,,
11200,12000,11200,0.208864,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.409296,,,,
2000,4000,2000,0.134706,,,,
2000,4000,2000,0.208864,,,,
2000,4000,2000,0.383568,,,,
2000,3000,2000,0.208864,,,,
2000,4000,2000,0.033664,,,,
4500,9000,4500,0.400992,,,,
2500,5000,2500,0.843584,,,,
2000,4000,2000,0.417792,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.6753,,,,
2000,3000,2000,0.217296,,,,
2000,3000,2000,0.780355,,,,
2000,3000,2000,0.217296,,,,
2000,4000,2000,0.216864,,,,
2500,5000,2500,0.208864,,,,
2500,5000,2500,0.208864,,,,
2000,3000,2000,0.208864,,,,
2500,5000,2500,0.208864,,,,
12000,13000,12000,0.643776,,,,
2000,3000,2000,0.208864,,,,
2000,3000,2000,0.525085,,,,
2000,4000,2000,0.208864,,,,
2000,3000,2000,0.80686,,,,
